City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,kieta,PG,-6.2167,155.6333,77.45,74,83,1.34,broken clouds
256,huntsville,US,34.7304,-86.5861,67.91,65,0,9.22,clear sky
257,dauphin,CA,51.1494,-100.0502,-5.66,65,0,21.85,clear sky
258,karratha,AU,-20.7377,116.8463,86.13,57,0,6.89,clear sky
259,payson,US,40.0444,-111.7321,32.4,45,0,6.91,clear sky
260,entre rios,BR,-11.9419,-38.0844,84.97,56,91,9.06,overcast clouds
261,watrous,CA,51.6668,-105.4679,-7.82,64,13,9.22,few clouds
262,richards bay,ZA,-28.783,32.0377,73.47,86,1,4.72,clear sky
263,waipawa,NZ,-41.4122,175.5153,57.42,84,3,8.55,clear sky
264,avera,US,33.194,-82.5271,57.38,88,100,6.82,overcast clouds
265,tilichiki,RU,60.4667,166.1,3.58,86,62,6.87,broken clouds
266,deyang,CN,31.1302,104.382,69.8,60,100,6.24,overcast clouds
267,hovd,MN,48.0056,91.6419,18.32,73,87,3.78,overcast clouds
268,dunedin,NZ,-45.8742,170.5036,65.8,50,49,8.01,scattered clouds
269,lagoa,PT,39.05,-27.9833,59.92,93,100,32.23,overcast clouds
270,ilulissat,GL,69.2167,-51.1,6.82,56,75,13.8,broken clouds
271,luba,GQ,3.4568,8.5547,85.89,80,100,8.43,overcast clouds
272,antofagasta,CL,-23.65,-70.4,75.22,57,15,9.1,few clouds
273,jumla,NP,29.2747,82.1838,39.24,67,63,5.53,broken clouds
274,mata de sao joao,BR,-12.5303,-38.2992,87.55,75,89,7.11,overcast clouds
275,rio gallegos,AR,-51.6226,-69.2181,53.65,82,75,13.8,light rain
276,sandwick,GB,60.0,-1.25,44.42,81,20,37.98,few clouds
277,republic,US,37.12,-93.4802,26.19,65,100,13.8,overcast clouds
278,severnyy,RU,50.677,36.5532,14.04,57,0,6.71,clear sky
279,maceio,BR,-9.6658,-35.7353,87.24,51,40,11.5,scattered clouds
280,lovington,US,32.944,-103.3485,25.65,56,100,14.14,overcast clouds
281,ostrovnoy,RU,68.0531,39.5131,30.34,87,94,18.54,light snow
282,tuatapere,NZ,-46.1333,167.6833,54.05,91,100,15.68,overcast clouds
283,lazaro cardenas,MX,17.9583,-102.2,82.71,39,18,9.48,few clouds
284,labuhan,ID,-6.8844,112.2051,79.09,88,100,7.78,overcast clouds
285,la ronge,CA,55.1001,-105.2842,-3.75,41,0,8.05,clear sky
286,talmenka,RU,53.8183,83.5677,3.38,94,20,8.48,few clouds
287,vezirkopru,TR,41.1436,35.4547,30.69,87,100,3.06,overcast clouds
288,stokmarknes,NO,68.5646,14.9108,40.96,100,75,2.3,light intensity drizzle
289,aginskoye,RU,51.1,114.53,17.15,95,100,14.0,snow
290,wajid,SO,3.8093,43.2471,86.99,21,98,14.72,overcast clouds
291,boundiali,CI,9.5217,-6.4869,97.47,14,100,3.89,overcast clouds
292,saint-philippe,RE,-21.3585,55.7679,80.19,83,46,10.87,light rain
293,mangan,IN,27.5167,88.5333,62.69,37,2,7.49,clear sky
294,leh,IN,34.1667,77.5833,7.27,73,33,3.36,scattered clouds
295,finschhafen,PG,-6.6024,147.8681,80.2,81,99,6.22,overcast clouds
296,suntar,RU,62.1444,117.6319,-7.83,100,91,1.68,overcast clouds
297,grindavik,IS,63.8424,-22.4338,42.75,87,40,20.71,scattered clouds
298,panaba,MX,21.2833,-88.2667,95.67,28,7,15.43,clear sky
299,rockhampton,AU,-23.3833,150.5,75.09,83,40,6.91,scattered clouds
300,kemijarvi,FI,66.7131,27.4306,28.0,99,89,5.3,overcast clouds
301,east london,ZA,-33.0153,27.9116,76.14,88,0,14.97,clear sky
302,zvishavane,ZW,-20.3267,30.0665,68.27,57,53,5.21,broken clouds
303,rawson,AR,-43.3002,-65.1023,72.79,36,0,5.82,clear sky
304,laguna,US,38.421,-121.4238,64.09,39,0,5.75,clear sky
305,qaqortoq,GL,60.7167,-46.0333,8.04,72,94,1.43,overcast clouds
306,pokhara,NP,28.2333,83.9833,64.06,30,1,6.29,clear sky
307,kirensk,RU,57.7853,108.1119,-15.12,100,75,0.78,broken clouds
308,lumberton,US,34.6182,-79.0086,58.32,56,75,1.92,broken clouds
309,victoria,HK,22.2855,114.1577,71.19,87,5,5.01,clear sky
310,kinsale,IE,51.7075,-8.5306,47.23,93,75,3.44,broken clouds
311,weinan,CN,34.5036,109.5089,66.33,62,98,2.19,overcast clouds
312,carutapera,BR,-1.195,-46.02,75.72,94,100,5.5,moderate rain
313,sao gabriel da cachoeira,BR,-0.1303,-67.0892,87.6,70,20,3.44,few clouds
314,yarmouth,US,41.7057,-70.2286,52.27,74,0,9.22,clear sky
315,zhizdra,RU,53.746,34.7395,16.63,94,62,4.16,broken clouds
316,leerdam,NL,51.8933,5.0917,57.99,48,57,3.0,broken clouds
317,nemuro,JP,43.3236,145.575,35.29,93,100,13.8,snow
318,havre-saint-pierre,CA,50.2334,-63.5986,17.6,48,0,16.11,clear sky
319,hurghada,EG,27.2574,33.8129,62.64,36,0,16.11,clear sky
320,viloco,BO,-16.95,-67.55,53.73,68,92,6.73,overcast clouds
321,broken hill,AU,-31.95,141.4333,62.31,36,98,8.05,overcast clouds
322,vila franca do campo,PT,37.7167,-25.4333,63.19,81,91,19.77,overcast clouds
323,karaton,ID,-6.3424,106.1045,74.46,94,98,4.61,overcast clouds
324,sovetskaya,RU,44.7769,41.1722,28.13,82,100,14.63,overcast clouds
325,palafrugell,ES,41.9174,3.1631,55.45,56,100,5.01,light rain
326,esperance,AU,-33.8667,121.9,64.24,74,51,15.21,broken clouds
327,port lincoln,AU,-34.7333,135.8667,63.54,75,0,13.42,clear sky
328,muttupet,IN,10.4,79.4833,75.79,79,5,9.42,clear sky
329,mamallapuram,IN,12.6264,80.1722,81.05,71,1,5.1,clear sky
330,beringovskiy,RU,63.05,179.3167,0.12,89,6,10.67,clear sky
331,klaksvik,FO,62.2266,-6.589,45.52,88,100,35.95,overcast clouds
332,kathu,TH,7.9178,98.3332,78.62,73,14,6.8,few clouds
333,tura,IN,25.5198,90.2201,69.35,26,1,2.17,clear sky
334,sembakung,ID,3.8167,117.25,73.99,99,51,1.25,broken clouds
335,fare,PF,-16.7,-151.0167,80.71,72,25,10.89,scattered clouds
336,nalut,LY,30.3333,10.85,58.98,24,0,4.85,clear sky
337,susanville,US,40.4163,-120.653,42.8,34,0,1.99,clear sky
338,les cayes,HT,18.2,-73.75,84.51,60,0,12.84,clear sky
339,moree,AU,-29.4667,149.85,62.62,77,12,6.91,few clouds
340,biak,ID,-0.9131,122.8766,77.63,85,100,0.69,overcast clouds
341,asfi,MA,32.2994,-9.2372,61.36,78,100,8.16,overcast clouds
342,aneho,TG,6.2333,1.6,86.2,76,83,15.05,broken clouds
343,teya,RU,60.3778,92.6267,-10.64,100,100,1.45,overcast clouds
344,poso,ID,-1.3959,120.7524,77.88,87,100,3.02,overcast clouds
345,sao filipe,CV,14.8961,-24.4956,75.38,60,44,9.48,scattered clouds
346,aracatuba,BR,-21.2089,-50.4328,87.98,51,40,9.22,scattered clouds
347,nisia floresta,BR,-6.0911,-35.2086,89.98,55,91,13.27,overcast clouds
348,vilhena,BR,-12.7406,-60.1458,80.82,74,75,8.05,light rain
349,safaga,EG,26.7292,33.9365,59.88,54,0,24.25,clear sky
350,andra,RU,62.5147,65.8878,-0.22,95,100,8.39,overcast clouds
351,vestmannaeyjar,IS,63.4427,-20.2734,43.79,87,40,14.97,scattered clouds
352,hualmay,PE,-11.0964,-77.6139,76.96,71,83,8.88,broken clouds
353,mount isa,AU,-20.7333,139.5,85.77,21,40,12.66,light rain
354,armizonskoye,RU,55.9461,67.6736,-9.11,99,90,7.87,overcast clouds
355,fairbanks,US,64.8378,-147.7164,2.98,68,0,6.91,clear sky
